	featureCounts on data 80: Counts	featureCounts on data 81: Counts	featureCounts on data 82: Counts	featureCounts on data 77: Counts	featureCounts on data 78: Counts	featureCounts on data 79: Counts
100652770	2.24886582504834	4.53379594323445	0.725137530599287	0	0	3.44644988713906
7276	0	0	0	0	1.3916359772502	1.14881662904635
9331	19.1153595129109	41.9376124749187	55.1104523255458	228.4593234499	32.0076274767546	70.0778143718275
147407	0	0	1.45027506119857	0.713935385780938	0	4.59526651618541
22878	579.082949949948	350.235736614861	1068.85272010335	967.382447733171	527.430035377826	724.903292928248
54941	136.056382415425	87.2755719072632	221.892084363382	204.185520333348	343.734086380799	127.518645824145
51444	278.859362305994	425.04336967823	401.726191952005	401.945622194668	322.859546722046	299.841140181098
4225	0	0	0.725137530599287	1.42787077156188	0	2.2976332580927
64762	187.780296391537	56.6724492904306	206.664196220797	129.936240212131	93.2396104757634	132.113912340331
441818	1.12443291252417	1.13344898580861	0	0	0	1.14881662904635
57565	0	3.40034695742584	7.97651283659216	25.7016738881138	20.874539658753	1.14881662904635
374864	0	0	1.45027506119857	11.422966172495	5.5665439090008	2.2976332580927
80816	2.24886582504834	2.26689797161723	0.725137530599287	1.42787077156188	0	1.14881662904635
8715	1.12443291252417	44.2045104465359	0	0.713935385780938	12.5247237952518	3.44644988713906
1837	112.443291252417	15.8682858013206	208.114471281995	275.579058911442	104.372698293765	701.926960347321
10982	251.872972405414	334.367450813541	514.122509194894	259.158545038481	837.76485830462	491.693517231839
84307	201.273491341827	197.220123530699	339.364364320466	296.283185099089	289.460283268042	341.198538826767
100101467	145.051845715618	98.6100617653493	205.213921159598	135.647723298378	84.8897946122622	311.329306471561
10778	312.59234968172	217.622205275254	395.199954176611	386.239043707488	321.467910744796	369.918954552925
7572	1838.44781197702	862.554678200354	3204.38274771825	3948.77661875437	1283.08837102468	2557.26581625718
252884	44.9773165009669	12.4679388438947	117.472279957084	49.2615416188847	38.9658073630056	114.881662904635
125476	201.273491341827	179.084939757761	122.548242671279	127.794434054788	278.32719545004	214.828709631668
100616257	0	0	0	0	0	0
2589	1414.53660395541	758.277371505962	2535.08080697511	1517.82663017027	1351.27853390994	1907.03560421694
406963	0	0	0	0	0	0
100500864	0	0	0	0	0	0
83608	155.171741928336	136.013878297034	163.15594438484	149.212495628216	229.619936246283	164.280777953628
55197	669.037582951882	856.887433271311	1261.73930324276	1105.88591257467	583.095474467834	1178.68586140156
25800	1287.47568484018	1083.57723043303	23271.1136319923	35274.1195406646	1580.89847015623	19459.8048794162
55250	372.187294045501	396.707145033014	2254.45258263318	3249.83387607483	548.304575036579	1942.64891971738
55034	125.936486202707	463.580635195723	133.425305630269	226.317517292557	40.3574433402558	276.864807600171
80206	166.416071053577	413.708879820144	173.30786981323	39.9803816037325	43.1407152947562	292.94824040682
25941	680.281912077124	836.485351526756	899.895675473715	684.66403496392	1264.99710332043	1488.86635124407
57536	53.9727798011602	43.0710614607273	100.794116753301	63.5402493345035	44.5323512720064	72.3754476299202
56853	12.3687620377659	20.402081744555	0.725137530599287	14.2787077156188	5.5665439090008	16.0834328066489
100422857	0	0	0	0	0	0
102724417	0	0	0	0	0	0
647946	2.24886582504834	20.402081744555	0.725137530599287	15.7065784871806	22.2661756360032	12.6369829195099
100126323	0	0	0	0	0	0
100846997	0	0	0	0	0	0
100847025	0	0	0	0	0	0
101927900	0	0	0	0	0	0
641516	0	1.13344898580861	1.45027506119857	0	0	6.89289977427811
5289	378.933891520646	232.357042090766	488.01755809332	483.334256173695	324.251182699297	457.229018360448
284260	6.74659747514503	0	1.45027506119857	0	1.3916359772502	6.89289977427811
6014	0	0	0	0	0	0
6860	0	0	0	0	0	2.2976332580927
101927921	1.12443291252417	5.66724492904306	0	0	0	0
26040	67.4659747514503	267.493960650833	561.256448683848	159.207591029149	91.8479744985132	236.656225583549
100422829	0	0	0	0	0	0
8170	0	0	3.62568765299643	7.13935385780938	2.7832719545004	0
101927980	0	1.13344898580861	0	2.14180615734281	1.3916359772502	1.14881662904635
6563	19.1153595129109	12.4679388438947	15.227888142585	8.56722462937126	20.874539658753	36.7621321294833
57724	574.585218299851	479.448920997043	867.989624127346	535.451539335704	534.388215264077	528.455649361322
284266	61.8438101888294	1.13344898580861	12.3273380201879	2.85574154312375	148.905049565771	6.89289977427811
9050	120.314321640086	272.027756594067	187.810620425215	324.840600530327	526.038399400575	170.02486109886
498	3050.58649167808	4868.16339404799	5544.40155896215	4365.00094866466	7329.7466921768	7504.07022093077
100188995	0	0	0	0	0	0
115106	168.664936878626	205.154266431359	195.061995731208	149.212495628216	214.311940496531	237.805042212595
147339	384.556056083267	359.30332850133	485.117007970923	788.898601287937	322.859546722046	596.235830475057
494470	24.7375240755318	119.012143509904	15.227888142585	24.9877385023328	32.0076274767546	62.036097968503
125336	2.24886582504834	9.0675918864689	28.2803636933722	8.56722462937126	12.5247237952518	8.04171640332447
29906	4.49773165009668	3.40034695742584	0.725137530599287	2.85574154312375	1.3916359772502	28.7204157261588
9063	287.854825606188	253.892572821129	329.937576422676	359.109499047812	306.159914995044	431.955052521428
83473	111.318858339893	80.4748779924115	39.8825641829608	60.6845077913798	44.5323512720064	133.262728969377
100506888	0	0	0	0	0	0
728929	0	0	0	0	0	0
101930171	0	0	0	0	0	0
162699	0	0	0	0	0	0
51224	0	0	0	0	0	1.14881662904635
84064	381.182757345694	338.901246756775	690.330929130521	542.590893193513	494.030771923821	846.677855607162
51124	743.250155178477	419.376124749187	967.333465819449	1051.62682325532	673.551812989097	1061.50656523883
652991	0	0	0	0	0	0
100616264	0	0	0	0	0	0
4087	963.639006033215	750.343228605302	1080.45492059294	1130.15971569123	969.970276143389	1166.04887848205
201501	33.7329873757251	188.15253164423	713.535330109698	24.9877385023328	379.916621789305	408.978719940501
9811	675.784180427027	735.608391789789	532.250947459877	641.113976431282	996.411359711143	1125.84029646543
100616366	0	1.13344898580861	0	0	0	0
4092	500.372646073256	284.495695437962	608.390388172802	521.172831620085	758.441607601359	577.854764410315
105372109	21.3642253379593	0	4.35082518359572	10.7090307867141	0	10.3393496614172
54808	547.598828399271	406.908185905292	617.817176070592	484.762126945257	587.270382399584	791.534657412937
100616420	0	0	0	0	0	0
100526842	1.12443291252417	0	3.62568765299643	1.42787077156188	1.3916359772502	1.14881662904635
497661	71.963706401547	40.8041634891101	72.5137530599287	57.1148308624751	97.414518407514	107.988763130357
100302257	0	0	0	0	0	0
6139	206.895655904448	276.561552537301	234.944559914169	169.202686430082	282.502103381791	291.799423777773
100124516	10.1198962127175	9.0675918864689	10.8770629589893	4.28361231468563	8.3498158635012	10.3393496614172
26791	4.49773165009668	2.26689797161723	9.42678789779073	4.99754770046657	1.3916359772502	4.59526651618541
26790	0	0	0	0	0	0
9388	300.223587643954	38.5372655174928	7.97651283659216	39.9803816037325	171.171225201775	17.2322494356953
10449	557.718724611989	541.788615216517	731.66376837468	462.630129986048	846.114674168121	840.93377246193
677769	4.49773165009668	1.13344898580861	7.97651283659216	4.99754770046657	0	1.14881662904635
103091864	2.24886582504834	0	0	1.42787077156188	0	1.14881662904635
4645	950.145811082925	366.104022416182	1450.27506119857	1195.84177118307	807.148866805116	2410.21728773925
100422865	0	0	0	0	0	0
220136	7.8710303876692	4.53379594323445	31.1809138157693	14.2787077156188	12.5247237952518	78.119530775152
4152	978.256633896029	1137.98278175185	749.067069109063	740.350995054833	1148.09968123141	1453.25303574364
30827	956.89240855807	1151.58416958155	430.006555645377	517.60315469118	1171.75749284467	1290.12107441905
220134	0	0	0.725137530599287	0	0	1.14881662904635
5596	0	64.6065921910909	0	4.99754770046657	4.1749079317506	14.9346161776026
83876	24.7375240755318	26.0693266735981	47.8590770195529	10.7090307867141	0	12.6369829195099
4200	543.101096749175	864.821576171971	522.099022031487	546.160570122418	822.456862554868	503.181683522302
55520	37.1062861132976	71.4072861059426	39.8825641829608	27.1295446596757	72.3650708170104	64.3337312265957
4089	597.073876550335	754.877024548536	1109.46042181691	864.575752180716	594.228562285835	1115.50094680401
51320	652.171089264019	668.734901627081	576.484336826433	623.265591786759	729.217252079105	655.974295185467
100287225	0	0	0	0	0	0
1630	5.62216456262086	6.80069391485168	4.35082518359572	2.85574154312375	6.958179886251	0
100616232	0	0	0	0	0	0
102724651	0	0	0	0	0	0
101928167	0	0	0	0	0	0
8932	727.508094403139	809.282575867349	1160.22004895886	1146.58022956419	1518.27485117997	985.68466772177
677819	0	0	0	0.713935385780938	0	0
11201	294.601423081333	236.890838034	618.542313601192	279.862671226128	208.74539658753	441.145585553799
147323	2.24886582504834	1.13344898580861	0	0	0	1.14881662904635
162681	58.4705114512569	100.876959736967	102.969529345099	139.217400227283	47.3156232265068	40.2085820166223
284254	0	0	0	1.42787077156188	0	0
5874	536.35449927403	85.0086739356459	1334.97819383329	788.898601287937	382.699893743805	919.053303237082
80323	3.37329873757251	6.80069391485168	13.0524755507872	16.4205138729616	1.3916359772502	29.8692323552052
101927229	5.62216456262086	5.66724492904306	18.8535757955815	7.13935385780938	1.3916359772502	2.2976332580927
6925	434.03110423433	364.970573430373	1013.0171302472	743.206736597957	740.350339897106	987.982300979863
100616290	0	0	0	0	0	0
101927273	0	0	0	0	0	0
100505474	0	0	0	0.713935385780938	2.7832719545004	0
9352	573.460785387327	649.466268868335	810.703759210003	968.096383118952	993.628087756643	1056.91129872264
23335	268.739466093277	211.954960346211	390.123991462416	314.845505129394	406.357705357058	433.103869150475
100885779	0	0	0	0	0	0
284257	0	0	0	0	0	0
51046	0	0	0	0	0	0
9480	12.3687620377659	62.3396942194737	3.62568765299643	88.5279878368363	16.6996317270024	2.2976332580927
2235	377.809458608122	551.989656088794	561.256448683848	400.517751423106	695.8179886251	884.588804365691
4677	1782.22616635081	1866.79047962678	2324.06578557071	2455.22379170065	1976.12308769528	2746.82056004983
100505549	23.6130911630076	51.0052043613876	39.1574266523615	24.2738031165519	83.498158635012	75.8218975170593
5205	908.54179331953	205.154266431359	1375.58589554685	3316.94380233824	513.513675605324	1048.86958231932
23327	344.076471232396	386.506104160737	915.1235636163	304.850409728461	391.049709607306	1168.34651174014
406906	0	0	0	0	0	0
100616357	0	0	0	0	0	0
115701	84.3324684393128	22.6689797161723	159.530256731843	7.13935385780938	30.6159914995044	24.1251492099734
101927322	1.12443291252417	3.40034695742584	1.45027506119857	0	0	0
10892	258.619569880559	245.958429920469	392.299404054214	373.388206763431	313.118094881295	227.465692551178
55205	1105.31755301126	1201.45592495713	1039.84721887938	429.789102240125	537.171487218577	1422.23498675938
390858	0	0	0	0	0	0
90701	475.635121997724	319.632613998029	494.543795868714	971.666060047857	1263.60546734318	582.450030926501
2922	26.9863899005801	15.8682858013206	137.050993283265	0	0	174.620127615046
30062	1.12443291252417	0	0	0	0	0
339302	0	0	0	0.713935385780938	0	2.2976332580927
3998	1542.72195598316	1557.35890650103	3977.37935533709	2737.9422044699	1564.19883842922	2134.50129676812
147372	7.8710303876692	7.93414290066029	38.4322891217622	15.7065784871806	6.958179886251	24.1251492099734
5366	143.927412803094	257.292919778555	189.260895486414	92.811600151522	89.0647025440128	56.2920148232713
4160	0	0	0.725137530599287	0	0	2.2976332580927
28316	0	7.93414290066029	2.17541259179786	2.85574154312375	0	0
100996669	0	0	0	0.713935385780938	0	0
220441	315.965648419292	132.613531339608	321.235926055484	1884.0754830759	200.395580724029	377.96067095625
23556	393.55151938346	371.771267345225	501.795171174707	493.329351574628	474.547868242318	672.057727992116
57614	585.829547425093	515.719288542919	761.394407129251	658.962361075806	385.483165698305	670.90891136307
8792	50.5994810635877	176.818041786144	81.2154034271201	78.5328924359032	33.3992634540048	27.5715990971125
54877	331.707709194631	481.71581896866	374.896103319831	464.771936143391	583.095474467834	428.508602634289
23239	204.646790079399	167.750449899675	220.441809302183	228.4593234499	186.479220951527	535.3485491356
596	112.443291252417	189.285980630038	2319.71496038712	2105.39545266799	641.544185512342	824.850339655281
2531	602.696041112956	792.28084108022	1126.86372255129	579.715533254122	783.491055191862	1226.9361598215
9525	1179.53012523786	572.391737833349	1041.29749394058	955.959481560676	1237.16438377543	1272.88882498336
5268	136.056382415425	217.622205275254	237.119972505967	4.99754770046657	20.874539658753	106.839946501311
89777	0	0	97.1684291003045	0	0	0
5275	1.12443291252417	0	10.15192542839	0	0	0
6318	0	0	0	0	0	0
6317	1.12443291252417	5.66724492904306	19.5787133261807	0	0	0
89778	0	0	0	0	0	0
8710	0	18.1351837729378	153.729156487049	0	2.7832719545004	6.89289977427811
5055	0	2.26689797161723	34.0814639381665	0	1.3916359772502	5.74408314523176
5273	0	0	0.725137530599287	0	0	0
284293	1.12443291252417	1.13344898580861	0	1.42787077156188	15.3079957497522	0
5271	159.669473578432	94.0762658221148	164.606219446038	112.801790953388	274.152287518289	102.244679985125
221241	0	0	2.90055012239715	0	0	0
