Geneid	Samtools sort on 310(R)
100874054	3
54507	132
105371437	9
100422997	0
574406	6
4170	8129
2029	5470
55204	874
84072	4
1520	2805
1513	2259
405	990
9869	1136
29956	8596
8416	2903
55793	1055
58497	803
149428	498
54964	106
56882	3888
10962	63
126626	141
10500	109
100534012	0
79626	115
388695	136
79005	13
29765	8
6944	834
8394	1390
5710	2565
57592	989
5298	2255
5993	1463
8991	3308
5692	5011
23126	1528
57530	1582
7286	370
693139	0
81609	1111
11189	8
284485	3
65005	856
51686	62
11022	247
339398	0
6097	235
100191040	25
100132111	31
284486	37
117145	320
6281	974
441908	0
6282	4172
100131107	0
126637	0
7062	7
126638	0
388697	0
2312	16
339400	7
388698	2
49860	0
254910	1
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	1
353137	1
353135	1
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	1
6698	0
6707	0
6699	1
6703	0
6700	0
6701	0
6704	0
6705	0
6702	0
6706	0
101928009	0
149018	0
574414	0
4014	1
114771	4
57115	19
6280	3901
6283	4
6279	852
338324	118
645922	0
6278	2583
6277	7062
6276	3
6275	578
101928034	7
6274	4
6273	4
140576	4623
57402	6233
6284	2711
6271	102
26097	1793
23557	501
3608	3518
100189015	0
4881	348
102466879	0
65123	18
11000	5
343052	0
105371448	0
57459	34
9909	1182
200186	778
27173	2530
102465441	0
148327	1292
10899	2732
5872	1573
6232	5474
91181	5
100847024	0
7170	9146
100126346	0
388701	2
25912	6015
9898	5306
10456	1393
89872	0
57198	1053
3570	913
126669	235
126668	19
55585	1774
100874097	4
1141	1
103	11739
3782	93
10654	664
57326	1690
90780	1216
101928120	15
6464	2321
1163	596
100423020	2
80308	904
55891	2
51043	2333
127579	14
149095	8
100505666	28
8751	2851
1945	162
1944	149
1942	1062
55974	863
54344	353
200185	742
80128	138
4582	5333
693235	1
7059	790
4580	273
2630	7
2629	119
10712	1
10067	1
1196	0
57657	0
5313	0
2224	1803
284618	3
23623	1646
55870	2446
693140	0
645682	0
645676	58
55154	285
55249	1623
7818	2590
100129405	58
54856	884
23208	334
6016	640
22889	978
677823	0
677771	0
339403	2
9181	1519
102465442	0
105371729	3
6746	3943
56893	1768
28956	870
57111	1075
92312	293
4000	6273
64218	422
9673	805
11243	194
100527963	2
632	2
79957	169
23381	3275
84283	429
112770	742
391104	0
7203	8345
128229	16
57127	32
10485	3
407046	0
4209	1582
128239	745
164118	12
128240	1610
54865	804
101928177	0
60484	2
63827	43
10763	1014
1382	12029
81875	1049
51093	399
79590	1031
3068	9910
5546	1857
9047	100
4914	17
3645	3
375033	258
149499	3
9826	1911
768220	0
440695	0
2117	1340
360155	0
83416	89
83417	1
115352	103
79368	11
115350	35
922	0
55243	629
646268	2
912	36
909	1
911	65
910	9
913	29
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	7
81448	0
391114	0
128371	0
128372	0
81442	0
4332	201
149628	77
3428	1674
9447	55
100189166	0
57863	48
100131825	18
2532	370
2205	21
441911	0
26476	0
127385	0
325	0
1401	0
54935	644
343413	48
56833	449
284677	37
391123	5
25790	103
100422852	0
8407	17425
57549	990
89886	0
100505633	4
93183	554
3766	84
3765	2
93185	2227
477	228
480	11
844	3
729867	8
8682	2681
50717	2692
5824	1641
4807	4
1314	5769
474338	2
23385	2539
57216	100
114836	256
8832	773
6504	121
962	418
57823	695
4063	99
51744	30
55600	2
101928372	0
142683	0
50848	4707
100131187	649
7391	1031
257106	940
81607	1552
126823	104
5202	695
4817	469
9191	647
51506	1590
27005	727
5498	251
8703	977
9507	131
4720	2079
2207	476
336	0
84134	253
